Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary
25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!
26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry
27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor
28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price
29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!
30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World
31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!
32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...
33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals
34,B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,1166313600,Good Instant
35,B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,1175212800,Great Irish oatmeal for those in a hurry!
36,B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,1210464000,satisfying
37,B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,1190851200,Love Gluten Free Oatmeal!!!
38,B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,1238457600,it's oatmeal
39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....
40,B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,1317168000,Wife's favorite Breakfast
41,B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,1303430400,Why wouldn't you buy oatmeal from Mcanns? Tastes great!
42,B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,1302134400,Oatmeal For Oatmeal Lovers
43,B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,1287014400,Food-Great
44,B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,1255392000,Good Hot Breakfast
45,B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,1209686400,Great taste and convenience
46,B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,1205193600,Hearty Oatmeal
47,B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,1192752000,good
48,B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1200096000,Mushy
49,B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,1191715200,Very good but next time I won't order the Variety Pack
50,B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,1334016000,Same stuff
51,B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,1203379200,Don't like it
52,B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,1243900800,HOT!  And good!  Came back for more  :)
53,B000G6RPMY,A9L6L5H9BPEBO,Edwin C. Pauzer,1,1,4,1348876800,You'll go nuts over Ass-Kickin' Peanuts.
54,B000G6RPMY,AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",0,0,3,1278028800,not ass kickin
55,B002GWHC0G,A1ND7WC5LXOU48,"David Belton ""Proteus 1""",2,2,4,1322438400,Roasts up a smooth brew
56,B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,0,0,5,1349395200,Our guests love it!
57,B004N5KULM,A202WR509428VF,amateur amazon shopper,2,2,5,1322438400,Awesome Deal!
58,B004N5KULM,ASCNNAJU6SXF8,S. Beck,1,1,5,1336176000,How can you go wrong!
59,B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",0,0,5,1320364800,Awsome - Kids in neighborhood loved us!
60,B004N5KULM,A2QOGOXPOVKAJG,mimimc,0,0,5,1320105600,great deal.
61,B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",2,4,3,1318723200,Better price for this at Target
62,B004N5KULM,A7ZK2A3VIW7X9,Peggy,0,2,5,1319414400,pretty expensive
63,B001EO5TPM,A1E09XGZUR78C6,gary sturrock,2,2,1,1215302400,stale product.
64,B005DUM9UQ,A3HR0ZZOFKQ97N,RLC,3,3,5,1333497600,Hammer Nutrition 's Fizz Rocks!
65,B005DUM9UQ,A2XIHNXODNZGV4,"ChemProf ""chem professor""",1,1,5,1333584000,great source of electrolytes
66,B005DUM9UQ,A3TWF9DQ6MU87E,dhy4b,1,1,5,1331510400,Great for preventing cramps
67,B005DUM9UQ,AEFIZIJ1FK1BK,Doug,0,0,5,1345161600,Low Carb Alternative to Gatorade
68,B005DUM9UQ,A8OFFIAL6XTOH,Bill Shirer,0,1,2,1338422400,Taste is not so good.
69,B000E7VI7S,A1KL2LAW08X6UQ,calmnsense,0,0,3,1169251200,How much would you pay for a bag of chocolate pretzels?
70,B000E7VI7S,AWCBF2ZWIN57F,C. Salcido,0,2,5,1185753600,pretzel haven!
71,B001GVISJC,A27TKQHFW0FB5N,Chet,2,2,5,1254355200,Great Gummi!
72,B001GVISJC,A3BDOAPSF96WGQ,2tall,1,1,5,1289260800,Bigger then other brands
73,B006SQBRMA,ATYMT48R62ENE,Marie,0,0,5,1327017600,Best ever latice tart
74,B0059WXJKM,A25VFHVGI4CFTP,Diana Robinson,0,1,1,1335744000,Warning!  WARNING!  -ALCOHOL SUGARS!
75,B001EPPI84,A3Q0IDQ03S0158,Jen,0,0,2,1287705600,nothing special
76,B001EPPI84,A27TZ4WBU7N0YF,I. So,0,0,1,1275004800,No Tea Flavor
77,B004X2KR36,A2W3ABLWMJ84NS,Jessica Snyder,0,0,5,1348444800,Good
78,B004X2KR36,A26M5O53PHZTKN,"Debs ""peanut""",0,0,5,1348185600,Taste great
79,B004X2KR36,A2AB7M9UCNBVN7,sharonh4,0,0,3,1346976000,Order only in cold weather
80,B005R8JE8O,A3H1EQD2PBC085,jmc,0,0,5,1344902400,this is the best
81,B0066DMI6Y,AB30HQTI5VOLR,Melinda Bishop,1,1,5,1325116800,Delicious!
82,B0066DMI6Y,AZLONLC8OZPEC,John W. Hollis,1,1,4,1324598400,Great
83,B003ZFRKGO,A2VOZX7YBT0D6D,"Johnnycakes ""Johnnycakes""",15,15,5,1325635200,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
84,B0019CW0HE,A1FD9E5C06UB6B,BRENDA DEMERS,5,5,3,1301011200,Natural Balance Lamb and Rice
85,B0019CW0HE,AK2CXHH9VRZ2A,I. GLENN,4,4,3,1313193600,INCREASED MY DOGS ITCHING
86,B0019CW0HE,A25BGFRHYHEZKK,Toby's mom,4,4,5,1292889600,Great food!
87,B0019CW0HE,A37N9XZBB8JYOF,Ash52,1,1,5,1333670400,Great for my dogs allergies
88,B0019CW0HE,A1T4L0Q47OZ9N,Wendy,1,1,5,1320883200,Great for stomach problems!
89,B0019CW0HE,A3IMXZE9FCUNOC,Dana,1,1,5,1311638400,Better life for you dog!
90,B0019CW0HE,A1EC57S6C2VLTL,"Lorraine ""Agelechio""",0,0,5,1347408000,Great Food
91,B0019CW0HE,A1OGD72Y2Y26CF,Lisas201,0,0,5,1335398400,Great food for my my dog who has a sensitive stomach.
92,B0019CW0HE,A7JWCYVPF7KCO,gare,0,0,5,1334966400,Great dog food
93,B0019CW0HE,ABG53EBZBKD23,"J. Romagnoli ""*jroma""",0,0,5,1333929600,Mmmmm  Mmmmm good.
94,B0019CW0HE,A3AF72GP4GVRY1,John D. Meara,0,0,5,1330041600,Great Dog Food!
95,B0019CW0HE,A1DJAAKLPCJRZD,wendy,0,0,5,1329609600,So convenient
96,B0019CW0HE,A1BFNM27629VAV,E. Triebe,0,0,5,1320105600,Good healthy dog food
97,B0019CW0HE,A18AAABCIJKC5Q,Rhiever,0,0,5,1303776000,Great dog food
98,B0019CW0HE,A3UII2114114PI,"FuNky Faja ""SiLkk""",0,0,5,1297296000,"Great allergy sensitive dog food, dogs love it"
99,B0019CW0HE,ABZ9F0D94YK45,Amazon-tron 3000,0,0,5,1295308800,Perfect for our English Bulldog with Allergies
100,B0019CW0HE,A2P6ACFZ8FTNVV,Melissa Benjamin,0,1,1,1331164800,Bad
101,B004K2IHUO,A1SYSKR79LA2CB,"Mycroft ""Virture is its own punishment""",4,5,5,1233014400,Taste wise it is a 6 star item
102,B004K2IHUO,A3D1TXE98KRKYO,"Danny ""The Student""",2,3,4,1256515200,Great Support
103,B004K2IHUO,AVCA516CFZ9HF,S. Fowler,0,0,4,1335139200,TART!
104,B004K2IHUO,A1P21J0DMTVGS7,Lovethemovies,0,0,5,1332028800,Omaha Apple Tartlets
105,B004K2IHUO,AL3E5V6MXO9B0,pionex1796,0,0,5,1326412800,Loved these Tartlets
106,B004K2IHUO,A2O9G2521O626G,Rachel Westendorf,0,0,5,1308700800,The best
107,B004K2IHUO,A1ZKFQLHFZAEH9,"S. J. Monson ""world citizen""",2,8,3,1236384000,disappointing
108,B001REEG6C,A30835UIR6F8KB,Adam E. Smith,2,2,5,1295308800,Wasting Vinegar on a Cucumber is a Shame!
109,B001REEG6C,A10EHUTGNC4BGP,M. Foell,1,1,5,1243728000,Asparagus Bliss
110,B001REEG6C,AY12DBB0U420B,Gary Peterson,0,0,5,1316390400,My Idea of a Good Diet Food.
111,B000J0HIT2,A1VKJN5Y1C7S5Y,"Wilhelmina Robinson ""Wilhelmina Robinson &#34...",2,2,2,1250812800,Low Carb Angel Food Puffs
112,B0037LW78C,A3VEYLW2KPZNGK,G. Simmons,3,3,5,1297814400,Delicious tea
113,B0037LW78C,A2F65U0UDY7TAW,Aldo,2,2,5,1337990400,My every day green tea
114,B0037LW78C,AWNANZ5VUO7IB,John D. Zuccarino,1,1,5,1308960000,the best tea ever... freah bright clean
115,B0037LW78C,A1Q4PJXI5HS5WT,ceecee,0,0,5,1333065600,Tea review
116,B0037LW78C,A2IX1B76ONTXEL,Cinderella,0,0,5,1326585600,Wonderful Tea
117,B0026Y3YBK,A3P60QLFDDCHOY,"Giordano ""GB""",2,2,5,1304899200,Great cookies
118,B0026Y3YBK,A38BUM0OXH38VK,singlewinder,0,0,5,1347667200,Best everyday cookie!
119,B003SE19UK,AD1WWGMEQ8FWW,Bob Rex,5,5,5,1290988800,So Far So Good
120,B003SE19UK,A2PM49X61MWZJV,DamiKris,4,4,5,1324166400,Best Cat Food
121,B003SE19UK,A3A52DETIFZNZS,Sarah Wilson,4,4,5,1309564800,Great food.
122,B003SE19UK,A3L15C30CBPZOR,Cynthia G. Pate,2,2,5,1330992000,Perfect Cat Food For Older Cats!
123,B003SE19UK,A29SUR9R8ZU54B,Alfbo,1,1,5,1313107200,Good for Feline UTI
124,B003SE19UK,A9GRWS6KP8SMA,Anne Kirkwood,1,1,5,1292544000,Palatable and healthy
125,B003SE19UK,ASOEVZ99YWPVL,PurpleGreen,0,0,5,1349049600,Healthy & They LOVE It!
126,B003SE19UK,A1QAJ948PN36II,Winter Green,0,0,5,1341964800,Wonderful food - perfect for allergic kitties
127,B003SE19UK,A1LWFJRITZLYUG,PMG1,0,0,5,1334188800,Holistic select cat food
128,B003OB0IB8,A34UG2TNXIL0Y,Austin H.,4,4,4,1325808000,Tastes great. Love Hot & Spicy. Bad price here.
129,B003OB0IB8,A3NVZTGPORNPRW,B. Pearce,4,4,5,1314489600,My favorite ramen
130,B003OB0IB8,A28D854VMOEHGX,Benny,3,3,3,1329436800,It burns!
131,B003OB0IB8,AISIYS3D2EAOX,RTyst,1,1,5,1330473600,Amazing to the last bite.
132,B003OB0IB8,A2DLRG3YX6A2ZU,luckybabe,2,3,2,1323820800,Not for me
133,B003OB0IB8,A56HS2VNURVJ0,"J. Espinoza ""jchav1980""",0,0,5,1343606400,Great spicy flavor
134,B003OB0IB8,AOTEC8KEH8JGN,Seth S Moyers,0,0,5,1334880000,Great value and convenient ramen
135,B003OB0IB8,A1D0URD0AL237J,Mother of Pearl,0,0,5,1334620800,great flavor
136,B003OB0IB8,A2BZNXMV0LC7OE,Alanna,0,0,4,1333756800,"Tastes great, but is cheaper locally."
137,B002SRYRE8,A198FU6P1BVUNZ,Sarah,0,0,5,1349740800,Tastes awesome & looks beautiful
138,B002SRYRE8,A21E0OJ4DSKXNA,Smileface,0,0,5,1342051200,Happy Face
139,B002SRYRE8,A1FJJQA34W0F4K,"Gettin Real ""gettin real""",0,0,5,1329177600,Simply the BEST!
140,B002SRYRE8,A20PK3OCKRRSA5,Mrs. J. Todd,0,0,5,1268265600,Excellent Product/Life Saver
141,B001GVISJW,ARS5Q7LR6HWPG,"N. Pine ""pcone""",0,0,4,1314489600,Nice snack
142,B001GVISJW,A2YIO225BTKVPU,"Angel_Boy ""Treat the people around you the wa...",0,0,4,1301788800,Good Licorice
143,B001GVISJW,A1ROND7G1QTOFY,Karon Dixon,0,0,5,1285804800,I love these!!!!!!!!
144,B001GVISJW,A1Z54EM24Y40LL,c2,0,0,5,1269129600,Great for the kids!
145,B001GVISJW,A281387UUS2IN5,Beantown Jim,0,1,3,1271548800,Bite sized
146,B0017I8UME,A2NH6XPAZG881D,MarkD,2,2,5,1240012800,Sweet with a nice kick!
147,B0017I8UME,AKX0RW482WAFD,Barbie,2,2,2,1224633600,BROKEN BOTTLE BOTTOMS!
148,B0017I8UME,ATBE88PKKQTRA,Matthew R Lehmkuhler,0,0,5,1344384000,Love the salsa!!
149,B0064KU9HO,AJFIH0DZYJF7T,Lisa Barton,0,0,3,1350345600,Ehhh...
150,B0037ZFEW4,ABTKZKAWOK4DC,huntersgun,3,3,5,1326153600,awesome cornmeal
151,B00374XSVY,AC567LXSKDNC1,Teeebooo,0,0,5,1341446400,GREAT marinade!
152,B00374XSVY,A2PW7DRW757OL0,Chris,0,0,5,1335052800,Awesome stuff
153,B005P0HHGK,AISCBGJRPPZ5G,"KT ""loves to read""",0,0,4,1326585600,tastes good
154,B002HQAXUW,A17ESTP5T7T1PH,Bumbeda1,1,1,1,1324944000,Rip off Price
155,B000SV90J8,A1CY94Z8YWQV12,Karas M. Stewart,1,1,5,1267401600,JELL-O
156,B000SV90J8,A3OO3TXDSIJDHY,pianolover,0,0,5,1323648000,Great flavor of Jell-o.
157,B0036VM05I,AUIVXYS8E4DEX,Dr. Christopher Lee,1,1,5,1327708800,Great Deal
158,B0036VM05I,A335SFRERY214N,"D. Melo ""Character Connoisseur""",0,0,5,1349481600,Great tasting sea salt WITH iodine
159,B000ITVLE2,A3NID9D9WMIV01,"Louie Arrighi ""Lou da Joo""",17,19,5,1260057600,tastes very fresh
160,B000ITVLE2,A395S4RA1X7BFB,Pen_Name123,3,3,5,1315872000,Simple but good
161,B000ITVLE2,ADL44P8Z4A3M5,"A. Goldsmith ""Media Hound""",2,2,5,1323043200,tasty!
162,B000ITVLE2,A1K37I9HWF3SAI,James R. Mckinney,1,1,3,1349222400,Not the greatest tasting..
163,B000ITVLE2,A6Y8N2GHDH0ZO,Matty,0,0,4,1348272000,Not Bad
164,B000ITVLE2,A5X6PJANY4XW4,"Tcat Houser ""A Customer""",0,0,5,1348099200,"Right size, taste"
165,B000ITVLE2,ARTBQH9WOZTIV,"Billy Wilson ""amzrview""",0,4,1,1269216000,Tasteless but low calorie
166,B003TQQKFQ,A2TUJ3MOKXZVYK,Amy,1,1,5,1338508800,This stuff is sooooo good!
167,B003TQQKFQ,A2QHQM3HHFUSHG,Catherine Lea,2,3,5,1334102400,Best Stuff Ever
168,B007B9J6G2,A34YK0ZTWOR858,NikkiBast,1,1,1,1345420800,Very Low quality
169,B0064KO0BU,A34D61RQILOKIJ,TampaBayGal,1,1,1,1350086400,Not Banana Runts
170,B0064KO0BU,AAV3AEI6YSYA2,sue,0,0,3,1345766400,Banana Heads Not Banana Runts
171,B0064KO0BU,A104Y49ZQ4CYJ2,"H. Adams ""hollya""",0,0,5,1344816000,Worked great!
172,B001IUKD76,A2KVCXTQVN18KI,"A. Martin ""tony_fourbu""",3,3,5,1283299200,Ricore forever
173,B001IUKD76,A2K8UBI64T0BM8,A. Carriglio,3,3,5,1262131200,Delicious!
174,B0081XN2HQ,A3HUV0ZQPXO3V7,Pink Dandy Chatter,0,0,5,1344902400,"Fluffy, Soft, Delicious and Sugary Sweet"
175,B0025VRCJY,A3PPOTV6659ATF,Jerald,5,6,4,1280793600,Great but not as good as it was back in the day as a teen
176,B0025VRCJY,A2VYRRDJN2UKWB,"Dario Quinonez ""aprilkid""",1,1,5,1299974400,EXCELLENT LEMON JUICE
177,B0025VRCJY,A2ACUGNVT36JYX,Lyannah,0,0,5,1325203200,Great Product
178,B0025VRCJY,A3F8JQ5J29GWUV,qv240,0,0,5,1315526400,Handy
179,B0025VRCJY,A3L9ZT7SRJYLVH,"JDTexan ""JDTexan""",0,2,4,1293926400,ReaLemon Juice from Amazon.
180,B005CJVVJ8,A3O8ZE8BHREE0W,Tom Falcon,8,8,4,1314316800,"relaxing, almost like something you smoke"
181,B005CJVVJ8,A3BSTFFIKK5YTW,"BOATS99 ""BOATS99""",6,6,4,1327968000,Never paid that much !
182,B005CJVVJ8,A3F44FUPG97AA9,Monie,1,1,5,1339545600,Marley's Mellow Mood Lite - Half Tea Half Lemonade
183,B005CJVVJ8,A1AL946PZ24084,Melinda K. Sanders,0,0,3,1334707200,Great product to help you sleep
184,B001KUUNP6,A262Z0S6PT9U16,Lee Thombley,3,3,5,1292716800,Perfect for gluten-free chocolate chip cookies
185,B001KUUNP6,A317BY3IPZ83MJ,"James G. Colet ""psychocarp""",3,3,5,1235520000,Garbonzo  Bean Flour
186,B001KUUNP6,A18VJ0WOQAIZYD,Ean Behr,0,0,5,1337299200,yum falafel
187,B000NY8ODS,A1IU7S4HCK1XK0,Joanna Daneman,2,2,5,1333843200,"Make a fresh fruit tart, light and beautiful"
188,B00029XIZI,A2S72TUJDQUBMH,Nadia,0,0,5,1236124800,Miracle
189,B004V6AH34,ATX44LVZL5JFV,Silvy,1,1,4,1314403200,not bad for instant healthy coffee
190,B004V6AH34,A3AFVGFX175F9N,Gift Card Recipient,0,0,3,1340582400,It's ok
191,B004V6AH34,AXAJ1GHE97YE2,"Jasmin Song ""Jasmin Song""",0,0,5,1339027200,I love it!
192,B004V6AH34,A3POAWC2JPQQQP,me,0,0,5,1338249600,great taste and has health benefits!
193,B004V6AH34,AJZ2A9UOJK0RB,LK,0,0,5,1336089600,Tastes Great. Arrived in 2 days!
194,B0028C44Z0,A19NGYCQ1NCF3W,S. Haney,2,2,5,1323820800,Great for after lunch
195,B0028C44Z0,A32DDKLY942A84,"PrinterCPE ""damnsilly1""",2,2,4,1284249600,"Nice little mints, but pricey."
196,B0028C44Z0,A3B6S35IUGOGW4,Rutt10,1,1,5,1300406400,Altoids mini mints tins
197,B0028C44Z0,AI7O5C9KBVSTF,i&#60;3pnutbutter,3,4,5,1274054400,Altoids Smalls-Wintergreen
198,B0028C44Z0,A4LL4KXLRBQHQ,stillgoinstrong,2,3,3,1278460800,Sugarfree...
199,B0028C44Z0,A3U94LRA4I8YAL,"Brenda Woodward ""love to read""",2,3,5,1265932800,Tasty!!
200,B0028C44Z0,A1WTXY4MW3YDF2,Gordon,0,0,5,1344729600,These mints are awesome!
201,B0028C44Z0,A1UF2VN3O50NGW,Lou,0,0,2,1330819200,Altoids Smalls
202,B0028C44Z0,A3VAYCK681VZZO,Optimus,0,0,5,1320710400,Love these! And reusable containers
203,B0028C44Z0,A3TIC20I6XI297,dog lover,0,0,5,1320451200,Altoids
204,B0028C44Z0,A2Q8F5N7HQXWDW,Bell Girl,0,0,4,1316908800,A huge hit at the office!
205,B0028C44Z0,A2RMYCQIST622H,Dan,1,2,5,1322438400,"Love 'em, they're great!"
206,B0028C44Z0,A27D5IRAIGLOG5,Texan Gal,1,2,5,1271635200,Love these!
207,B0028C44Z0,A5F7YR0G7H9HR,Ma J. Vargas Peña,0,1,5,1315180800,fresh!
208,B0028C44Z0,A2E0MNOYZI00VW,Deborah Laux,1,3,5,1314662400,Wintergreen Me
209,B0028C44Z0,A3BJ9NS09YGQT5,"Atl Chris ""Atl Chris""",0,3,1,1314489600,These just don't do it for me as breath mints
210,B0009XLVGA,A3S84SEN2Z6DZU,"EJ ""Seayhorse""",2,2,5,1299283200,"better than average, more expensive than average."
211,B0009XLVGA,A2U3Z5S70AE80V,Margaret,2,2,5,1267920000,My cat loves it!
212,B0009XLVGA,ATHUN0PJ0MG0P,"R. Cross ""LVWolfman""",1,1,5,1315008000,Great For Fat Cats and Senior Citizens
213,B0009XLVGA,A2LWOW7SO2QPML,JHexatthewheel,0,1,2,1310515200,Nearly killed the cats
214,B0009XLVGA,A1NHQNQ3TVXTZF,"Desert Girl ""chrissylovesherhusband""",3,10,1,1220227200,CHANGED FORMULA MAKES CATS SICK!!!!
215,B002TDK0VK,A3FU8FVBZ8ZODD,D. Anthony,0,1,4,1320796800,Best by the case
216,B002TDK0VK,A24HJWXL3LHULM,scott Smith,0,1,5,1289865600,Looking for a different flavor?
217,B002TDK0VK,A3GRP8QRFGDH8T,Technically Proficient,1,4,1,1296086400,Price cannot be correct
218,B0040WAG7Q,A19SDJ2TSSL8HI,K. McGee,0,0,3,1347667200,More Hot/Spicy than McCormick's Brand
219,B001EO5ZMO,AW497M5SEXAPQ,Neal Pollack,5,5,5,1266105600,Ahmad Loose Imperial Blend Tea is great for the price
220,B001EO5ZMO,A3KQ1480MHXXCW,M'ville,3,3,5,1272412800,Nice tea
221,B001EO5ZMO,A8D27L5Q5BLRC,K. Kwan,0,0,5,1350864000,A fragrant tea
222,B001EO5ZMO,A1C5SHU81SRARN,Sophia T,0,0,5,1310688000,Best Ahmad Tea
223,B001EO5ZMO,A3JP1UJAF8YY0F,Irish Stu,0,0,5,1308009600,My favorite tea
224,B001EO5ZMO,A8XEEORIXJNZL,Joseph Emmanuel,0,1,5,1330819200,Best tea ever!
225,B001EO5ZMO,A3A4GAPXRX5SHM,markiz,1,3,2,1282435200,Not a real tea
226,B001SATU8E,A1CR1DS15Z7XO1,Tiff D,0,0,4,1264377600,DELICIOUS
227,B007JFV6RK,A2WQBT7RS1HSSU,"Wade Jackman ""wpjackman""",1,1,5,1346025600,Best Bloody Mary mixer
228,B007JFV6RK,A3LCMQ815MBJW9,Patty,1,1,5,1338163200,The Best
229,B007JFV6RK,A2UC5JUVHIF80L,Abendago,1,1,5,1334016000,Mcclures bloody Mary mix
230,B001L4ELRW,A1AK335P17JXL0,Victoria Brown,0,0,1,1345593600,Not Good
231,B003SO503C,A2ODZ3CH8PMYTL,Nanette,0,0,5,1347235200,Love this tea!
232,B003SO503C,A3OXRFCJI67IMN,Bold Consumer,0,0,5,1333843200,Really Nice Taste!
233,B003ZFXJDW,A2HL6876LDPJIM,flageolet,0,0,5,1343692800,just give me some watermelon and citron sea salt
234,B003ZFXJDW,A2KPPGFMPD20M6,Linda Albert,0,0,1,1343692800,Furniture Polish Taste
235,B003ZFXJDW,AJ94Y22SUFCGU,Gwenhwyfar,0,1,5,1303257600,Big tub o' salt
236,B001HTL6CY,A1KLA02LZXAT46,Dandelion,0,0,2,1302307200,"Taste is neutral, quantity is DECEITFUL!"
237,B000WFRMRW,A2GN6W82DZNUN8,jackman,0,0,5,1341878400,Eukanuba puppy small breed dog food
238,B000WFRMRW,A3Q7QBDSAZ670I,B. Barnett,0,0,4,1331251200,High Quality... But it gave my dog wicked gas..
239,B001EO5ZME,AF72GTWZGAC61,Pinkhat,0,0,5,1330387200,Great tasting green tea and such a great deal.
240,B0093NIWVO,A1JT114SOITFFO,Dan & Eileen,0,0,5,1350691200,OMG best chocolate jelly belly
241,B001EO5ZMY,AF72GTWZGAC61,Pinkhat,3,3,5,1330732800,Excellent loose tea.
242,B001EO5ZMY,AOSK1PLKNT64,Mrclouky,1,1,5,1323820800,Good anytime hot tea
243,B001EO5ZMY,A1DAHZRJTX5X1Z,Erfan,1,1,5,1302739200,My everyday cup of Tea
244,B001EO5ZMY,A7WE8ZWEJG34E,Kapitoshka,2,3,4,1272499200,This is what you get in the store
245,B001EO5ZMY,A1W4LZ4VZDF29Y,"Guy S. Painter ""gspainter""",0,0,4,1275091200,Ahmad Tea
246,B001EO5ZMY,A3E81HFGNME65J,suave,1,9,2,1245456000,Disappointed
247,B007TFONH0,AMRNVZKWF6519,confettissimo,1,1,5,1338508800,Wonderful!
248,B007TFONH0,A10IFYN5U6X20R,onemagoo,0,0,5,1350172800,Best way to buy kcups
249,B007TFONH0,A3ICO2ROSXHIPM,tightwad,0,0,5,1340755200,delicious
250,B000GGKQSO,A1OE23J37ZPDXE,Donald Edward Liberman,0,0,5,1270944000,keeps you out of the dentest chair
