Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
13764,B0036FBZPK,A222YG04UP2RGS,bankerkys,0,0,5,1321401600,Labrada Lean Body is the BEST!,"40g of protein, great nutrition, minimal sugar and fat, and excellent flavor.  What more can you ask for in a protein shake?  I've tried many other shakes and I always come back to Labrada Lean Body."
1170,B001HTI226,A3JVLYSC4VG8XL,Christie Hall,2,2,5,1289088000,Spectacular tomatoes,"These tomatoes taste like home canned. When summer is over and heirloom tomatoes no longer are available at the farmers market, these serve as an excellent reminder of the past season and a promise of the next. I originally bought these organic tomatoes for my stepfather, whose heart disease dictated a low sodium diet. And they are incredibly low in sodium. But I soon bought them for myself after I tried them just once. When the local organic grocery store and then Sprouts stopped carrying them, I turned to Amazon for a case. They are as much a staple in my pantry as olive oil."
4018,B000UZVPKO,A2QFU7V7KUSFBA,J. Diamond,2,2,5,1255910400,The Best,"Roland S&B sardines are the best you can buy and believe me,  I've tried them all.  ALSO....Amazon's price is half what I had been paying."
46417,B002GJ9JWS,A3CRY7WNMEMFFO,Mommyof3,0,0,5,1344211200,Delicious minus the calories/fat,"This product is a delicious, satisfying alternative for anyone who is trying to cut calories and fat (or on Weight Watchers), without losing great taste.  It's easy to make and my kids even love it!  Great eaten alone or with celery. I've even used it with banana and fat free vanilla yogurt for a smoothie and it was excellent! Highly recommend!"
17622,B000CMIYWC,AWNZGOTQNRUHW,Mona E. Cheney,2,3,5,1178928000,Breathe Deep,"I've used this product for years, and find it helpful for mild breathing problems."
21186,B002QWP89S,APCTA6EH9DD4A,"adp ""amber""",0,0,5,1332374400,Puppy love,I have a pitbull who loves her treats I'm obsessed with keeping her healthy so these work great on her teeth and they're a great price!
46509,B002GJ9JWS,A3HJVLNBJ6LS6M,"D. Gould ""RunnerGirl825""",6,6,5,1294876800,"Yummy alternative to fatty PB, but priceMUST be wrong","I love PB2 - I add it to chocolate protein smoothies to make a Chocolate Peanut Butter treat, or I make it and eat it alone to feel like I'm getting true PB.  However, on the Bell Plantation site, the jars are only $3.99. Surely Amazon must have a misprint??"
9468,B000UBDKII,A3KLE11XPJTF36,D. Moe,0,0,5,1320192000,great coffee!,Senseo Paris French is one of my favorite senseo coffee's always a great cup of coffee. Great price from Amazon!
22169,B000KV61FC,A2ONJC4B4JJVKI,"Mary ""Living Life""",3,3,5,1304294400,Best Toy Ever!,"<span class=""tiny""> Length:: 0:29 Mins<br /><br /></span>My dog received this as a gift a few years back. It is THE BEST toy ever and keeps her busy for a long time! She has mastered it so well, and enjoys it so much, that she will bring the empty jug to me when she wants it filled up! LOL!"
23878,B0013NUGDE,A24N79JNVNFSBV,jhcpa,0,0,5,1327449600,Outstanding!,"Put simply, these chips are full of flavor, texture and lower in calories than your average potato chip. They have a slightly salty but still sweet flavor. There's great ""crunch"" due to the fact that they have rice flour in them. They are not greasy since they are NOT fried. The only criticism is that they do not offer any significant fiber, being that the sweet potato is mixed with rice flour. I will absolutely purchase these as an alternative to a potato chip or a tortilla chip, for snacking."
8924,B000JWEE74,A2HTYS3T1F7F2Z,J,4,4,5,1238630400,"Ate all 8 pieces in &lt;48 hours. Hit the spot for cravings, stomach not so happy...","...but they were very tasty. They arrived a bit soft, which was fine, as it is warmer out. I opened the first one and was surprised by how good it was. Usually I am less than impressed with sugar free products. But these hit the spot...for five minutes. Then, I was craving another piece. Second one was just as good. Third and fourth followed pretty quickly as well. If you like your caramels super chewy and soft, then you don't need to refrigerate these. I didn't refrigerate the first four pieces. The second four, I stuck them in the fridge overnight. The next morning, I had one as a pre-coffee snack. I couldn't have just one at a time and I ate my second one soon after. The refrigerated ones were just as good, if you like your caramels a little harder. Unfortunately, since I scarfed down this bag so fast, my stomach is not happy with me. And I am unhappy as I have no more caramels. If you are craving caramels, don't want the sugar, don't mind the maltitol effects, and can be content with one caramel a day, then these are for you."
20754,B000SDMFC0,A3JZNCC3VX1AAC,"Sam G. Mubara ""Darby""",3,3,5,1259712000,"Lavazza Tierra! Espresso 100% Arabica Coffee Beans, 2.2 Pound Bag","Fantastic coffee beans. I made today 2 espresso shots with my Rocky and Andreja Premium at 10 and 9 bars of pressure. These were the best 2 espresso shots I've ever had. Far better than any Coffee house and better than other coffee beans including Illy with a fraction of Illy price. I'll definitely use again in the future.  Thanks Amazon, thanks Lavazza."
4695,B0000VMBDI,ATU8547UX4G9F,J. Jackson,0,0,5,1348444800,Perfect for my sons cake.,"This was a cute, affordable set for my 2 y/o son's golf theme party.  They were a great size for a half sheet cake and he's played with them as toys since his party."
1276,B000WNJ73Q,A394MHK3CSDGUV,kaleinor,2,2,5,1091318400,5 Woofs!,"Five of my five dogs agree - they'd rather munch liver biscotti than almost anything else.  I pull out a treat and they come running.  It cheers 'em up, encourages them to obey, lets 'em know I love 'em, and got me over some really rough training spots with my 90 pound puppy!!!  And in a few instances when I've been slow producing the goodie, they've cornered me and dug in my pocket themselves!  I think it's a hit!"
38110,B00142IAKU,A36Y93YKQ1LLRB,"Harley Quinn Loves Joker ""kariegirl""",0,0,5,1272326400,not whats in the pic but its still good,i love theys drinks. i was surprised when it was green and not clear like the other melon ones ive had.i cant wait to get more.
41957,B006Q7YFLQ,A1UQNX8S78JU0G,Jessica Teel,0,0,5,1342742400,Huge hit with cats and dogs.,"Freeze Dried Treats were a huge hit in my house!  My dog absolutely loved them, and she's a dog who isn't all that into food.  I especially like that since they are dry you can stuff them in a kong without getting the kong stuck with nasty food you can't clean out.  So, great kong treats.  They are also sized perfectly to fit in a large size kong (but easily broken apart into smaller pieces).  My cat also wolfed them down with delight and begged for more.  Being raw they should have many more nutrients than most commercial treats."
31464,B001E5DXEU,A17TT28V0YZ0J7,"Karen J. Brown ""Karen Brown""",0,0,5,1234656000,The best price in the market!,"I love Big Train Chai, however, it is so costly to purchase.  This is the best price I have ever seen and will definately be back to buy more!  Very fast shipment as well.  Thank you."
49679,B000CRHQN0,A351N3GX46AGEF,R. Payne,1,2,5,1328659200,Gluten free protein bar,They are very tasty and high in energy.  I really do like them and I have placed them on my automatic shipping to always have them on hand.
49796,B000CRHQN0,ABU6CUTRMZG1R,Y. V. Benavidez,0,0,5,1289779200,Love these bars!,"I eat a bar after my workout (taste great) and it has lots of protein and NO SUGAR, which is what I need.  Highly recommend them, ESPECIALLY when they are on sale (they are pricey!)."
15826,B007TJGZ5E,A3966TRSIWW4Q2,"Tinybear ""TechGeek""",1,1,5,1323734400,So far the best tasting Keurig coffee cups I could find,"I was recently given the top of the line Keurig single cup coffee maker from Costco that came with a lot of different flavors to test out.  This Nantucket blend was easily the best of the bunch.  It truly is a great tasting coffee and I can't believe it comes out of my Keurig.<br /><br />Now I do drink a cup of coffee every day and I'm not fond of the waste that this product produces so I actually have one of these <a href=""http://www.amazon.com/gp/product/B0051SU0OW"">ekobrew Cup, Refillable K-Cup For Keurig K-Cup Brewers, Brown, 1-Count</a> and grind my own coffee.  It's cheaper and better for the environment and it's what I use for myself.  However, the fine dust does pass through the filter so I don't like to give it to guests.  I don't mind the dust though that settles at the bottom of the cup and for being much cheaper I don't mind.<br /><br />These cups though I save for my guests so that they can get a great cup of coffee without any of the dust.  And they all love this coffee."
26177,B0058AMY74,A3PM9DMVYG9HDK,"Yuni ""nut_stud""",1,1,5,1242259200,"Sweet, salty, tangy: the way a snack should be","Kettle brand chips are probably the best potato chips I've tasted thus far. They are thick, has a bite to them and I love their creative flavors. My favorite Kettle chip happens to be the honey Dijon. I think it's a great combination sweet, salty and tangy, perfect for one of those snack attacks when you don't know exactly what you want. I especially love the curled up chips for extra texture and crunch. These 2-oz bags are perfect for anyone who has a problem controlling portions (like me!)."
8131,B0019GVYR2,A1PXB145ROO64W,PSA Rising,7,8,5,1308096000,Five star,"I've found this product (Bob's Red Mill Bicarbonate of Soda or Soda Bicarb without Aluminum) to be just as I'd hoped.  I use it in a 3 to 1 (Pure Maple Syrup to Bob's Soda Bicarb) ration, respectively, as an anti-cancer holistic therapy approach to a recent rise in my (16 year) post-op PSA.  I don't have the results yet, as I'm only in my third week of use.  My next PSA lab test will tell the story.  (These tests should be conducted by the same laboratory, as differing labs employ different reagents and the results may vary to some degree.)<br /><a href=""http://www.amazon.com/gp/product/B0041CKRJC"">Bob'Red Mill Aluminum-Free Baking Soda - 16 oz Bundle of 4</a><br /><br />This product is mixed with the maple syrup, heated and stirred in a LARGE pot (when mixed, the two react and create an initial rapidly expanding and foaming mixture which soon 'settles down') for five minutes, not to exceed 120 degrees farenheit.  The mixture will not remain as a homogeneous mixture; it will separate and must be stirred with each use.*  The goal is to raise one's systemic pH to above 7.  I've been keeping mine at 8 to 9.  Avoid use of sugar, white bread, meat and alcohol during therapy.  One may check several testimonials on the internet by searching for ""Maple Syrup Soda Bicarb therapy"".  My height is 5' 10; weight 164 lbs.  I average 2 1/2 tablespoons of this mixture morning and evening (before breakfast and after dinner).<br />  *Best to use a funnel and pour the heated/stirred mixture into a clean plastic milk bottle.  This makes re-mixing by shaking easier.<br /><br />I measure my pH at least twice daily, prior to taking each dose, using the Urine test strips purchased through Amazon made by Phinex**.  These strips will also measure one's pH by testing saliva.  (Probably more accurate at the moment tested - as the urine may have accumulated over a period of hours; a combination of high pH and, possibly a current acetic pH level.  The goal is to maintain an alkaline pH level.<br /><br />**See: [...]<br /><br />The author is NOT a member of the medical profession.  This account is not to be interpreted as a recommendation to engage in the therapy described, nor to imply its efficacy as a treatment for any disease.  One must decide for one's self upon any course of action to be taken with regard to addressing any medical condition."
20809,B001GVIRD4,A19SXBQWY5Y4YW,Kiersten Yost,0,0,5,1299456000,Awesome and delicious,"My son LOVES these cranberries.  These are the perfect little snack for someone who has a sweet tooth.  It works fantastically in the trail mix I make, to eat just a small handful, or to toss with a salad.  And I LOVE that they're organic!"
29557,B000PDY3P0,A3NJGMHGJE0ZC3,"Danny Creech ""RetiredDan""",1,2,5,1294099200,Great Popcorn,My Grandkids love it and so do we! Pops easy and tastests great. A bag of it came when I had to replace my old popcorn popper and we've been using it ever sense. My grandkids and their friends think I make the best popcorn ever!
2452,B002JX7GVM,A1356MMYO31WB6,"Kira's Mama ""kirasmama""",2,2,5,1308528000,"If you're looking for something a little more ""Pina Colada"" this is it","I was exhausted, hot, and dehydrated when I spotted this in a concourse store at JFK airport.  I was about to get on a 6 hour flight and water sounded too unsatisfying - but juice sounded too heavy.<br />I'd heard the rumblings about coconut water so I looked to see if I liked any of the flavor options - I can't stand mango and just about everyone adds it. I was relieved to see the O.N.E. coconut water with a ""splash of pineapple"" so I figured I'd give it a go.<br />The woman at the counter said ""are you sure you want that? It's $4."" Steep! But it's an airport, what can you do? By that point I was so wanting to try it I said sure.  After all, it would've been $3 for a sticky sweet soda.<br />I was so happy with it that I kept the empty tetra pack with me the whole time I traveled so I would know which one it was.  It doesn't taste heavy (in case the pina colada reference made it sound that way) but the pineapple takes the edge off the green coconut water.  It's amazing.<br />I was happy to find it on Amazon - as I'm definitely hooked.<br />Since I have Prime shipping, it gets to me in 2 days (if I order it right, that is!) which saves me a trip to various local stores trying to see who still has it in stock.<br />I'm totally thrilled with this stuff."
40168,B0012YEKCM,A2EIKMY5IL1ROY,"G. Ryan ""Gmy""",6,6,5,1303776000,Feeling lucky already....,"Purchased a couple of trees (about 9' in height) and recieved them very quicky!!!!! Nice full green leaves, very happy with purchase!!"
48908,B001EQ5PTA,A146H4KN4LFR60,"angelfood ""neat, sweet and erudite""",0,0,5,1287619200,Quality Product,You're going to have to use a lot of spices in bulk or ordering this won't make sense. I do a lot of baking  and wanted fresh cinnamon sticks at a reasonable price for the upcoming holidays. I am very pleased by the quality and freshness and would order them again.<br /><br />This summer I purchased their mustard seed for canning. It was also a great deal and I will be ordering it again next year. This seems to be a very reputable company and I'm glad to have found them here on amazon.
10376,B0006UE212,A38Q5FFLZE8G3B,Gala,1,1,5,1335657600,Good product,"Works great,I use it for years. Do not use it everyday though,because it is strong.<br />Good to use fiber instead."
22357,B0056GL66U,A1TPVHTW6SCE2T,elaine polakoff,0,0,5,1311811200,Refreshingly yummy,This Iced Tea flavor stands up in the cold.  It's very refreshing.  Everyone I serve it to enjoys the beverage.
43055,B002LFBA8S,A2468PE26NDHYY,Ashlee Carroll,7,7,5,1208995200,Love this popcorn!,Great product! Pops well and we love the absence of hulls. We went thru our 6 pounds in less than a month. Delicious!
18704,B00008JOL0,A2B5AY21GY7QT5,"Olga S. ""Corgi crazy""",0,0,5,1307664000,Great value and great taste,"My dog has a fairly sensitive stomach and is a VERY picky eater, so I'm usually quite careful with trying new treats. But he loved the <a href=""http://www.amazon.com/gp/product/B000H0ZJHW"">Zuke's Chicken-Flavored Mini Naturals Dog Treats, 16 Ounces</a>, so I thought I might as well give Hip Action a try. And he loved them!<br />They are also a great value - I actually took the time and counted the number of treats in a 1 lb bag - and I got 64, which means more than 2 months of hip protection for dogs under 46 lb (you only need to give one a day)."
25451,B0051TPWUI,A3D165TX35GR0,S. Macnicoll,1,1,5,1233446400,Healthy and delicious!,"If you want a truly healthy, filling snack, you must give these a try, as well as their sisters, the Vanilla Bean Almonds. They are both just lightly sweetened, and fragrant with either the cinnamon or the vanilla, depending on which you choose. The container is marvelous; there is a half flip top which is easy to do with one hand (like in the car). And they're not roasted in more oil, so the almonds are ""meaty"" and sweet. And almonds are SOOO good for you. I'd recommend that you try them, and then get an Amazon subscribe and save if you can. It's well worth it! And all natural. LOVELY!"
5764,B003TIVBSU,A1MMKBT6HOOWMU,td,0,0,5,1329350400,Wonderful smelling Madagascar Bourbon Vanilla Beans,Recieved Vanilla beans in a nice bundle in a ziploc bag.  The smell was wonderful even through the bag.  My husband and I used the Vanilla beans to make our own Vanilla extract.  The beans were moist and easy to work with.  We were very impressed and would definitely buy the vanilla beans again. Can't wait to see how the homemade vanilla extract turns out.
13991,B00122E63M,A13H5US9Z7L9M7,Kathleen Wagner,0,0,5,1272067200,Love this tea!,"Not only does Tetley Tea come in cut little drawstring pouches, but it<br />is rich and tasty without being the least bit bitter. I enjoy all of<br />these flavors. What is better than sitting down with a nice cop of tea<br />and a book, I ask you?<br /><br />My daughter started sending me Tetley tea bags some time ago, and it<br />has been one of my favorites since."
35287,B000VSDCH4,A28KL4VGU24MWS,Lorrie,0,0,5,1350777600,Amazing packets of flavours and spices...very HOT!,"The BBQ Chicken Mi Goreng flavor packs on the heat...and just right for those who like their food on the intense side.  It has lots of packets of flavor including a spicy chili oil and soy sauce and some msg-powdered seasoning and hot chili powder and even dehydrated fried onions as garnish.<br /><br />It is subtly sweet and the spicy-heat just hits you in every bite and the flavors all merge into deliciousness.  This is a flavor unlike any asian bistro cooking, and yet, it's so-oooooooooooo so, so good.<br /><br />I must admit that I have often wanted to find other flavors that were just as tasty and spicy and have only found 1 that is nearly as tasty but it's not a similar sweet-n-hot-savory, it's got heat but it's very different. (see my other ramen noodle review)"
34369,B001P3NU30,A38QVT40D0BA6M,HopeLove,0,0,5,1332460800,Don't knock the product!  Think about your dog..,"Any dog, no matter their age or size, should be supervised when chewing any edible toy.  Whether it be a rawhide, cow ear, meaty femur or even a stuffed KONG toy.  Dogs that love to chew & can eat a rawhide in a matter of minutes, should not be permitted to have rawhide because they are considered ""aggressive chewers"".  This does not mean that they are mean or naughty dogs, but more that they are persistent.  These dogs should only be allowed to chew on KONG toys or Nylabone (non-flexible) chews.  I have an aggressive chewer myself & those are the only toys he plays with for chewing purposes.<br /><br />I also have a non-aggressive chewer.  He will carry a stuffed toy in his mouth wherever he goes, he's not interested in ripping it to shreds.  He will only chew a rawhide or Nylabone for a few minutes before he gets bored.  Rawhides are safer for these types of dogs because they won't try to eat the piece whole, even still, supervision is a must.<br /><br />Please take into consideration what kind of chewer you have prior to purchasing this product.  With that said, this is a great product in that it promotes dental health!  They're a tasty treat for our four-legged family members and for those of us that don't have the time to brush our dog's teeth, they do what we can't."
12080,B001EQ4LEA,A1KVNWXXF8VDWF,Stu,2,2,5,1292716800,Aspen Mulling Eggnog Mix,"Aspen Mulling eggnog mix does not taste exactly like real eggnog, but pretty darn close. It is a bit sweeter and not as rich as real eggnog, unless you mix with cream and milk (the manufacturer recommends mixing with milk). I add a touch of vanilla and nutmeg to the mix, and use it to make eggnog lattes. Delicious, and now I enjoy eggnog lattes year-round. I find that I can make an eggnog latte using this product that tastes more like eggnog than using real eggnog. When mixed with fat free half and half, you can enjoy the taste of eggnog with no cholesterol, no fat, and low carbohydrates. If you mix with regular half-and-half, even creamier. When mixing, let it stand for 10 to 15 minutes before using. No need to mix and let stand overnight, tends to separate out if left sitting overnight."
42686,B001D0GV9K,AQORDZQRTQLAJ,"Colleen Vandal ""Colleen""",0,0,5,1261440000,The Best,"Timothy's is the best Hazelnut coffee so far, I have tryed Gloria Jeans, yuk, Green Mountain, ok, Timothy's by far exceeds all in flavor, and I am a hazelnut connesseur. You have to try this one! Colleen in Connecticut"
26397,B001JYVT60,A2K2EUL44GUFPJ,"J. Conley ""dog lover""",8,8,5,1264636800,Great for dogs with stomach problems,"My dog gets sick eating a lot of dog treats (even Milkbones), but has always done well with all the Booda bones.  She really loves them & they're good for getting rid of the tartar on her teeth.  I highly recommend these."
32883,B001P05K8Q,A2A9PDMJNATXSV,Neil Kugler,0,0,5,1249603200,CET HEXtra Premiums Dog Chews,"The product is excellent, highly recommended by the vet, easier digestion for the dog.  Safer than rawhide and will not break teeth like a bovine knuckle."
24547,B000VK2W6O,A21BGH6UK6R61F,"Cindi Smith ""loves2read""",0,0,5,1269129600,Dogs love these!!,Our dogs really loved these treats and I could feel good about feeding them. There are no chemicals you can't pronounce and they are a perfect size for a little reward during training.
26731,B002GWMGGQ,A2ELGJJS2BHM5B,"Douglas G. Thomas ""Baroque music fan""",0,0,5,1337817600,"If you like rich, earthy coffee...","I'm glad I bought two bags of this coffee because it turned out to be the coffee I was looking for for that first cup in the morning. It is rich, earthy, honest coffee that just tastes good! Roasting one's own coffee sounds exotic to many people, but people used to home-roast their beans all the time before about the 1930s. The aroma of home-roasted coffee filling the home is equal to that of a pot of fresh-ground coffee brewing for your breakfast. I don't know why more people don't do it, and if someone wanted to try, they would love the results with this coffee, never go back to the commercially-roasted and roasted variety. Blend with other varieties, and you can create your very own ""house coffee"". The possibilities are endless."
30122,B000DZFMEQ,A3T2RZ7751PCJH,"Doris Day ""life is good""",0,0,5,1233187200,easyand wonderful product,This wheat free bread mix is great my whole family enjoys the taste and we add ground flax to it also.  We have done the pizza with the same mix and it is also good.  All good for us wheat free gluten free families.  Great product!!!
42673,B001D0GV9K,AK23BITNM6KU5,Crystal  King,2,2,5,1236902400,Nice Hazelnut Coffee,"I would say that the Timothy's Hazelnut coffee has a rather nice flavor.  The coffee is medium mild in strength, probably a 5 on a 1-10 scale for strong coffee taste.<br /><br />I find the hazelnut flavor to be nicely done.  I like Duncan Donuts hazelnut coffee and I find the Timothy's to be a decent replacement to this.  I favor the Timothy's over Gloria Jeans Hazelnut but I am looking forward to trying the Timothy's dark roast hazelnut as I would prefer a slightly stronger brew.<br /><br />Enjoy!"
44154,B0007NOWMM,A3G99Q2S1RUUDG,cindy,0,0,5,1300320000,Senseo french vanilla,I have a Senseo machine and like it much better than the Keurig. It produces a wonderful foam on the coffee and for those who drink it black this a a real advantage. The French Vanilla pods are absolutely delicious- almost dessert
42698,B001ELLAEY,A3HRWZW3ZK6W49,Kristen McDaniel,1,1,5,1239148800,Yummy honey in a convenient portion.,"I bought this in an effort to help myself quit smoking while watching my weight.  Also, I'd been looking for a smaller honey container to use to sweeten my hot tea when I'm at work.  These honey sticks definitely helped.  The honey was very good, the stick/straw seems to be a great way to package it as it doesn't spill out easily.  Plus, each stick is only 15 calories, so you can watch your proportion if that matters to you. I will definitely purchase this again."
41364,B0096EZHM2,AMMY6M00PHVM2,"K. Pierson ""Ceramica""",1,1,5,1315008000,FANCY FEAST @ LESS THAN 1/2 THE PRICE,"I have an old kitty who won't eat anything but Fancy Feast.  Sara, my kitty, is 17 and developed the OLD CAT SYNDROM of not wanting to eat ANYTHING.  I tried every ""stinky"" (More aroma than the organic cat food) cat food there is, and something was wrong with all of them.  The texture wasn't right, too chunky, she didn't like the taste, just old persnickity cat tricks trying to make me beg her to eat.  Than I discovered Fancy Feast, at $1.00 per 3 OZ CAN!!!  She LOVED it.  It was a pate', the texture was great and she could actually smell it.  I try to get 2 cans a day in the cat, at pet food store prices, that's $60.00 a month.  We have 3 other cats and a big dog, so that option would'n fly.  So I turned to Amazon.com, and behold, there I found Sara's Fancy Feast for less than 50 cents a can with the SUBSCRIBE and SAVE program.  We're all happy now.  The coolest thing that I noticed about how Fancy Feast affected my Sara, is that her coat is lustrous again.  Sara's coat was getting kinda dull and her grey fur had turned brown and coarse, I just thought that this was due to ageing.  She is now mostly grey, and her fur is soft again. Coincidence?  Maybe, but I like her looking good and being excited about eating again.  Not bad for an old kitty."
24212,B0013NUGDE,A24JKH2U43M5X4,Ruby Redbird,1,1,5,1342483200,so good!,These taste like roasted marshmallows/sweet potato casserole from Thanksgiving! They are awesome! My only issue w/ them is that I cannot stop eating them.
1339,B000I5DJVE,A2GTW6FM6DRZSZ,Go Steelers,1,1,5,1183766400,Candy Tree Organic Cherry Bites,This licorice has very good taste.  My daughter is on a gluten free diet and she loves these cherry bites.
24675,B00474G7KW,A2GC3RO41BY6VN,LC,0,0,5,1332806400,yummy!,"i first started looking into gluten free foods a few months ago and was concerned that i would not like the taste. although i can taste the difference with several foods, bakery on main is not one of them!"
26148,B0058AMY74,AWM1SL1PYY3A3,Joseph Orellano,2,2,5,1240272000,Awesome and delicious!,"These are among the best chips I have ever eaten!  I first came upon them when I visited a CostPlus World Market store in Opelika, AL, in the Tiger Town Mall, in 2007.  I wasn't a big fan of dijon-flavored anything, but I decided to give these chips a try.  I was hooked.  I probably ended up buying over a dozen bags within just a few months' time.  I searched all over my part of Alabama (the northwestern part of the state) and could not find them.  I later tried to find them at the World Market in Hoover, at the Patton Creek Shopping Center, and they did not carry this flavor.  However, when I learned that they were available on Amazon.com, and also available for PRIME Shipping - I bought them as soon as I read ""Kettle Chips Honey Dijon, 9-Ounce Bags (Pack of 12)!""<br /><br />You get a pretty big box, filled with 12 bags of these delicious morsels.  They last quite a while, but I will re-order, very, very soon!  I suggest you buy them, in this bulk form, and enjoy them - you won't be disappointed!  They go great with hamburgers and hot dogs - so they're perfect for spring and this coming summer's outdoor activities and cook-outs!<br /><br />Take my word for it, these chips are a hidden gem lost in the world of snack foods!  Buy some today, and fall in love like me!"
27268,B0033HGLTG,A81O63DZ3KG19,jjohn159,0,1,5,1331078400,Yes!!,"I live in a small town so it is next to impossible to find decaf k-cups, and even more impossible to find them at this price! Exactly what I wanted!"
